datasetname,model,cv_method,basic_prediction_mean,rmse_mean,rmse_std,parameters
df_num_cat_with_pt,Linear_Regression,kfold,4063968269984.411,230376467555117.34,227963736373478.75,None
df_num_cat_with_pt,KNeighbors_Regression,kfold,24638.004703285744,28562.82607066224,2425.910506386826,None
df_num_cat_with_pt,Decision_Tree,kfold,30954.366152544575,37170.43950594282,5193.9189461750575,None
df_num_cat_with_pt,Random_Forest,kfold,21090.339034727986,24806.417227998787,2859.896386758031,None
df_num_cat_with_pt,SGD_Regression,kfold,17989.669082517587,22128.119857998252,2326.819054480251,None
df_num_cat_with_pt,Ridge_Regression,kfold,19546.33885432283,22692.624481298244,2162.135838856224,None
df_num_cat_with_pt,Lasso_Regression,kfold,20663.356020572297,24523.735778972055,3298.354439758823,None
df_num_cat_with_pt,ElasticNet_Regression,kfold,22944.830770806977,29164.582745733194,3530.3698460636488,None
df_num_cat_with_pt,Logistic_Regression,kfold,31008.49575017153,40987.63870653528,5394.141327967789,None
df_num_cat_with_pt,LinearSVR,kfold,138361.07469046433,150836.70816492484,6611.980708415794,None
df_num_cat_with_pt,GradientBoosting_Regression,kfold,18398.676214887284,22557.264582177602,2665.7625382917104,None
df_num_cat_with_pt,XGBoost_Regression,kfold,20811.065182897386,24995.636296755612,2720.949862946476,None
df_num_cat_with_pt,LightGBM_Regression,kfold,18822.4173205714,22635.98293798333,2225.233336807583,None
df_num_cat_with_pt,Linear_Regression,repeatedkfold,31977.37163678562,203737644234034.12,232487016445965.06,None
df_num_cat_with_pt,KNeighbors_Regression,repeatedkfold,20013.50749843353,28816.14486637649,3834.587269733266,None
df_num_cat_with_pt,Decision_Tree,repeatedkfold,27330.842129625144,37986.92398968303,5076.63840831122,None
df_num_cat_with_pt,Random_Forest,repeatedkfold,18924.54614772479,25164.10483161468,3519.8042874404023,None
df_num_cat_with_pt,SGD_Regression,repeatedkfold,16269.118113794855,22122.428039202565,2971.7801834831407,None
df_num_cat_with_pt,Ridge_Regression,repeatedkfold,16956.138657800515,22757.09476236491,2774.8345998763148,None
df_num_cat_with_pt,Lasso_Regression,repeatedkfold,18827.244517522056,24369.937122634496,2872.795672414012,None
df_num_cat_with_pt,ElasticNet_Regression,repeatedkfold,22117.118027508805,29096.609398527416,4701.818683815497,None
df_num_cat_with_pt,Logistic_Regression,repeatedkfold,30520.819539493346,40959.00177924618,6182.235592125969,None
df_num_cat_with_pt,LinearSVR,repeatedkfold,132322.24509504673,150724.14867260674,8823.489482816023,None
df_num_cat_with_pt,GradientBoosting_Regression,repeatedkfold,17285.206426911245,22773.61999431707,3255.322536515296,None
df_num_cat_with_pt,XGBoost_Regression,repeatedkfold,17438.643532868642,24990.929521971644,3600.9623121624454,None
df_num_cat_with_pt,LightGBM_Regression,repeatedkfold,16796.25310359541,22765.20256662479,3352.754320910992,None
df_num_cat_with_pt,Linear_Regression,stratifiedkfold,3039174913608.726,217668374375541.1,241121546874393.56,None
df_num_cat_with_pt,KNeighbors_Regression,stratifiedkfold,24670.735236239765,28861.23799913096,3799.795047363065,None
df_num_cat_with_pt,Decision_Tree,stratifiedkfold,30812.178605480956,39602.524638596355,4815.790919993557,None
df_num_cat_with_pt,Random_Forest,stratifiedkfold,21074.142080153048,24996.88462184593,3049.430534795564,None
df_num_cat_with_pt,SGD_Regression,stratifiedkfold,19476.93780250351,22157.928066120105,1646.8929706753984,None
df_num_cat_with_pt,Ridge_Regression,stratifiedkfold,19949.801536255247,22483.770090681086,1834.7860301969795,None
df_num_cat_with_pt,Lasso_Regression,stratifiedkfold,20951.33408682848,23573.916976377717,2316.179724954686,None
df_num_cat_with_pt,ElasticNet_Regression,stratifiedkfold,22935.679457887312,29071.46030298415,5166.922178267732,None
df_num_cat_with_pt,Logistic_Regression,stratifiedkfold,32739.372962283556,41198.11963086294,4808.246129245543,None
df_num_cat_with_pt,LinearSVR,stratifiedkfold,138240.1765594774,150763.3386843836,7742.668843253538,None
df_num_cat_with_pt,GradientBoosting_Regression,stratifiedkfold,16956.686517397982,22667.834539136988,2904.3731735829897,None
df_num_cat_with_pt,XGBoost_Regression,stratifiedkfold,19631.586730153485,24993.869027390414,2693.5101575883405,None
df_num_cat_with_pt,LightGBM_Regression,stratifiedkfold,17601.274396349905,22527.921938775435,2478.487559821887,None
df_num_cat_with_pt,Linear_Regression,shufflesplit,65635460859325.07,349230712380682.6,304155311389966.0,None
df_num_cat_with_pt,KNeighbors_Regression,shufflesplit,27564.62335058671,29628.898628146457,1746.6735740285196,None
df_num_cat_with_pt,Decision_Tree,shufflesplit,32571.187416959867,38548.32446825949,3713.3437851346694,None
df_num_cat_with_pt,Random_Forest,shufflesplit,21734.008891739017,24626.14714818684,2128.7250614983755,None
df_num_cat_with_pt,SGD_Regression,shufflesplit,19935.020642756674,22197.472543994536,1729.2276569991295,None
df_num_cat_with_pt,Ridge_Regression,shufflesplit,20890.610146045034,23015.98595772242,1564.3369578407383,None
df_num_cat_with_pt,Lasso_Regression,shufflesplit,23675.07830332034,25695.307895156577,1650.707559151083,None
df_num_cat_with_pt,ElasticNet_Regression,shufflesplit,25798.96480129416,29040.34745813273,2474.2816793589004,None
df_num_cat_with_pt,Logistic_Regression,shufflesplit,38573.82898418887,41624.74710860341,2304.935561147789,None
df_num_cat_with_pt,LinearSVR,shufflesplit,150672.88263233364,156953.45502787112,2559.2269442008187,None
df_num_cat_with_pt,GradientBoosting_Regression,shufflesplit,19493.367479046072,22212.25395934152,1731.5862890069193,None
