,datasetname,model,cv_method,basic_prediction_mean,rmse_mean,rmse_std,parameters
4,df_logalized_not_scaled,SGD_Regression,shufflesplit,1.0447436968349988e+16,7.066134207045048e+16,4.551469891595449e+16,None
5,df_logalized_not_scaled,Ridge_Regression,shufflesplit,19755.553835118157,22247.196877322895,1500.4259348785868,None
6,df_logalized_not_scaled,Lasso_Regression,shufflesplit,23701.456526765967,25222.19947476008,1388.5595165602174,None
7,df_logalized_not_scaled,ElasticNet_Regression,shufflesplit,26280.767265884315,29036.151382191234,2327.628748141072,None
8,df_logalized_not_scaled,Logistic_Regression,shufflesplit,66958.80303275821,74941.3358406284,4543.503918158514,None
9,df_logalized_not_scaled,LinearSVR,shufflesplit,37757.73788281757,49096.70103688008,12576.56956390934,None
10,df_logalized_not_scaled,GradientBoosting_Regression,shufflesplit,20423.042500010546,22314.07214600751,1720.9376945622485,None
11,df_logalized_not_scaled,XGBoost_Regression,shufflesplit,21422.13335424207,25085.438241742213,2014.2542560332445,None
12,df_logalized_not_scaled,LightGBM_Regression,shufflesplit,19641.172856572855,22910.99730168856,2109.2603589949376,None
0,df_normalized,Linear_Regression,cross_val_score,6951662490560282.0,1.1161420498244438e+16,1.3763837381640026e+16,None
1,df_normalized,KNeighbors_Regression,cross_val_score,31001.554715553368,31376.252119818597,3822.0821751512563,None
2,df_normalized,Decision_Tree,cross_val_score,36155.474641580506,42007.99128976902,5905.041330022957,None
3,df_normalized,Random_Forest,cross_val_score,27685.454030696386,27774.221693734977,3621.7443619925402,None
4,df_normalized,SGD_Regression,cross_val_score,26966.021099234895,25518.306287809053,3205.9985263507056,None
5,df_normalized,Ridge_Regression,cross_val_score,26268.254654184566,25728.868753542003,2767.60530979793,None
6,df_normalized,Lasso_Regression,cross_val_score,28181.134400390994,26909.141103106005,2599.0117420880497,None
7,df_normalized,ElasticNet_Regression,cross_val_score,48103.228520138626,39434.18845650475,7531.321699017892,None
8,df_normalized,Logistic_Regression,cross_val_score,44475.321886396174,43433.33795154204,6938.737183449072,None
9,df_normalized,LinearSVR,cross_val_score,162304.7875096001,160695.8498739116,12657.936837351523,None
10,df_normalized,GradientBoosting_Regression,cross_val_score,27290.049254066453,24082.057266243646,2840.2586147360385,None
11,df_normalized,XGBoost_Regression,cross_val_score,26669.58389245963,26667.055158332012,4514.061359342041,None
12,df_normalized,LightGBM_Regression,cross_val_score,27719.823921749514,24400.691160756905,4022.1097693251927,None
0,df_normalized,Linear_Regression,kfold,23202.92938424902,7101719301639373.0,1.3464789842657072e+16,None
1,df_normalized,KNeighbors_Regression,kfold,27218.91506854022,31089.464187335176,2666.786263746017,None
2,df_normalized,Decision_Tree,kfold,35480.43696833183,39838.85218494217,3471.602135058745,None
3,df_normalized,Random_Forest,kfold,24505.024238422393,27896.75523799014,2694.151681526672,None
4,df_normalized,SGD_Regression,kfold,22510.51485814529,25727.05620544613,2398.5391194717463,None
5,df_normalized,Ridge_Regression,kfold,22936.516062303308,26142.685097778485,2143.412822209533,None
6,df_normalized,Lasso_Regression,kfold,23749.07642398415,27319.150507113984,2793.874932066174,None
7,df_normalized,ElasticNet_Regression,kfold,32622.78027750405,40310.10445905778,4069.9691345576784,None
8,df_normalized,Logistic_Regression,kfold,33935.30558592548,41420.273036987914,3862.617075237174,None
9,df_normalized,LinearSVR,kfold,145711.61851567923,158093.91482892586,6504.9868260825415,None
